observation_time,latitude,longitude,temperature_c,precipitation_mm,windspeed_mps,source
2025-12-30 00:00:00,40.7128,-74.006,3.2,0.0,37.0,open-meteo
2025-12-30 01:00:00,40.7128,-74.006,0.9,0.0,31.8,open-meteo
2025-12-30 02:00:00,40.7128,-74.006,-0.1,0.0,35.6,open-meteo
2025-12-30 03:00:00,40.7128,-74.006,-0.8,0.0,33.7,open-meteo
2025-12-30 04:00:00,40.7128,-74.006,-0.9,0.0,32.9,open-meteo
2025-12-30 05:00:00,40.7128,-74.006,-0.8,0.0,33.9,open-meteo
2025-12-30 06:00:00,40.7128,-74.006,-0.6,0.0,28.1,open-meteo
2025-12-30 07:00:00,40.7128,-74.006,-0.7,0.0,29.5,open-meteo
2025-12-30 08:00:00,40.7128,-74.006,-0.9,0.0,33.4,open-meteo
2025-12-30 09:00:00,40.7128,-74.006,-1.1,0.0,29.5,open-meteo
2025-12-30 10:00:00,40.7128,-74.006,-0.9,0.0,24.8,open-meteo
2025-12-30 11:00:00,40.7128,-74.006,-1.0,0.0,28.4,open-meteo
2025-12-30 12:00:00,40.7128,-74.006,-1.2,0.0,25.6,open-meteo
2025-12-30 13:00:00,40.7128,-74.006,-1.1,0.0,28.6,open-meteo
2025-12-30 14:00:00,40.7128,-74.006,-1.0,0.0,26.5,open-meteo
2025-12-30 15:00:00,40.7128,-74.006,-0.8,0.0,30.5,open-meteo
2025-12-30 16:00:00,40.7128,-74.006,-0.1,0.0,35.0,open-meteo
2025-12-30 17:00:00,40.7128,-74.006,0.3,0.0,32.4,open-meteo
2025-12-30 18:00:00,40.7128,-74.006,0.9,0.0,30.6,open-meteo
2025-12-30 19:00:00,40.7128,-74.006,0.6,0.0,32.0,open-meteo
2025-12-30 20:00:00,40.7128,-74.006,-0.3,0.0,28.6,open-meteo
2025-12-30 21:00:00,40.7128,-74.006,-0.5,0.0,27.8,open-meteo
2025-12-30 22:00:00,40.7128,-74.006,-2.0,0.0,23.1,open-meteo
2025-12-30 23:00:00,40.7128,-74.006,-2.3,0.0,17.7,open-meteo
